Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
Mark,Mark Lee,마크 리,마크,2/8/1999,NCT,9/4/2016,SM,Canada,,,,Vancouver,NCT U| NCT 127| NCT Dream| SuperM,,M
Renjun,Hwang Renjun,황런쥔,런쥔,23/03/2000,NCT,9/4/2016,SM,China,,,,Jilin,NCT Dream,,M
Shotaro,Osaki Shotaro,오사키 쇼타로,쇼타로,25/11/2000,NCT,9/4/2016,SM,Japan,,,,,NCT U,,M
Sungchan,Jung Sungchan,정성찬,성찬,13/09/2001,NCT,9/4/2016,SM,South Korea,,,,,NCT U,,M
Taeil,Moon Taeil,문태일,태일,14/06/1994,NCT,9/4/2016,SM,South Korea,,171,60,Seoul,NCT U| NCT 127,,M
Taeyong,Lee Taeyong,이태용,태용,1/7/1995,NCT,9/4/2016,SM,South Korea,,,,,NCT U| NCT 127|SuperM,,M
Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,27/02/1996,NCT,9/4/2016,SM,Thailand,,,,Bangkok,NCT U|SuperM,,M
Winwin,Dong Sicheng,뚱쓰청,윈윈,28/10/1997,NCT,9/4/2016,SM,China,,,,Zhejiang,NCT 127,,M
Yuta,Nakamoto Yuta,나카모토 유타,유타,26/10/1995,NCT,9/4/2016,SM,Japan,,,,Osaka,NCT 127,,M
AhIn,Lee Ahin,이아인,아인,27/09/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,160,44,Wonju,,,F
Byungchan,Choi Byungchan,최병찬,병찬,12/11/1997,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Hanse,Do Hanse,도한세,한세,25/09/1997,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Hyebin,Lee Hyebin,이혜빈,혜빈,12/1/1996,MOMOLAND,9/11/2016,Double Kick,South Korea,,165,44,Andong,,,F
Jane,Sung Jiyeon,성지연,제인,20/12/1997,MOMOLAND,9/11/2016,Double Kick,South Korea,,167,46,Changwon,,,F
Joo E,Lee Joowon,이주원,주이,18/08/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,164,45,Bucheon,,,F
Nancy,Nancy Mcdonie,낸시 맥다니,낸시,13/04/2000,MOMOLAND,9/11/2016,Double Kick,South Korea,USA,162,45,Daegu,,,F
Nayun,Kim Nayun,김나윤,나윤,31/07/1998,MOMOLAND,9/11/2016,Double Kick,South Korea,,167,48,Seoul,,,F
Sejun,Lim Sejun,임세준,세준,4/5/1996,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Seungsik,Kang Seungsik,강승식,승식,16/04/1995,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Seungwoo,Han Seungwoo,한승우,승우,24/12/1994,VICTON,9/11/2016,Plan A,South Korea,,,,,,X1,M
Subin,Jung Subin,정수빈,수빈,5/4/1999,VICTON,9/11/2016,Plan A,South Korea,,,,,,,M
Hongseok,Yang Hongseok,양홍석,홍석,17/04/1994,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Hui,Lee Hwitaek,이회택,후이,28/08/1993,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Jinho,Jo Jinho,조진호,조진호,17/04/1992,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Kino,Kang Hyungku,강형구,키노,27/01/1998,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Shinwon,Go Shinwon,고신원,신원,11/12/1995,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Wooseok,Jeong Wooseok,정우석,우석,31/01/1998,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Yan An,Yan An,옌안,옌안,25/10/1996,PENTAGON,10/10/2016,Cube,China,,,,Shanghai,,,M
Yeo One,Yeon Changgu,여창구,여원,27/03/1996,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M
Yuto,Adachi Yuto,아다치 유토,유토,23/01/1998,PENTAGON,10/10/2016,Cube,Japan,,,,,,,M
Chaehyun,Kim Chaehyun,김채현,채현,29/11/1999,Bonus Baby,1/1/2017,Maroo,South Korea,,163,,,,,F
Dayun,Kim Dayun,김다윤,다윤,20/11/2000,Bonus Baby,1/1/2017,Maroo,South Korea,,164,,,,,F
Gaon,Beom Gaon,범가온,가온,9/3/2001,Bonus Baby,1/1/2017,Maroo,South Korea,,163,,,,,F
Hayoon,Jung Hayoon,정하윤,하윤,21/11/1998,Bonus Baby,1/1/2017,Maroo,South Korea,,163,,,,MyB,F
Kongyoo,Kong Yoojin,공유진,공유,11/5/2001,Bonus Baby,1/1/2017,Maroo,South Korea,,163,,,,,F
Moonhee,Choi Moonhee,최문희,문희,15/04/1997,Bonus Baby,1/1/2017,Maroo,South Korea,,167,,,,MyB,F
Shinyoung,Park Shinyoung,박신영,신영,19/03/2000,G-reyish,1/6/2017,Elijah,South Korea,,,,,,,F
Yena,Jeong Yena,정예나,예나,10/4/2000,G-reyish,1/6/2017,Elijah,South Korea,,,,,,,F
Yeso,Lee Yeso,이예소,예소,13/11/2001,G-reyish,1/6/2017,Elijah,South Korea,,,,,,,F
Chaejeong,Lee Chaejeong,이채정,채정,26/08/1999,ALICE,1/7/2017,IOK Company,South Korea,,164,48,,,,F
Do-A,Choi Yuna,최윤아,도아,2/2/1999,ALICE,1/7/2017,IOK Company,South Korea,,,,,,,F
EJ,Kim Eunji,김은지,이제이,13/08/1997,ALICE,1/7/2017,IOK Company,South Korea,,164,47,,,,F
Karin,Min Karin,민가린,가린,5/1/2002,ALICE,1/7/2017,IOK Company,South Korea,,,,,,,F
Sohee,Kim Sohee,김소희,소희,31/12/1999,ALICE,1/7/2017,IOK Company,South Korea,,,,,,,F
Yeonje,Yang Yeonje,양연제,혜성,15/10/1999,ALICE,1/7/2017,IOK Company,South Korea,,,,,,,F
Yukyung,Lee Yukyung,이유경,유경,5/11/1999,ALICE,1/7/2017,IOK Company,South Korea,,,,,,,F
E-tion,Lee Changyoon,이창윤,이션,24/12/1994,ONF,2/8/2017,WM,South Korea,,,,Jeonju,,,M
Hyojin,Kim Hyojin,김효진,효진,22/04/1994,ONF,2/8/2017,WM,South Korea,,,,Seoul,,,M
J-Us,Lee Seungjoon,이승준,제이어스,13/01/1995,ONF,2/8/2017,WM,South Korea,,,,Seoul,,,M
MK,Park Minkyun,박민균,엠케이,16/11/1995,ONF,2/8/2017,WM,South Korea,,,,Ilsan,,,M
U,Mizuguchi Yuto,미즈구치 유토,유,16/03/1999,ONF,2/8/2017,WM,Japan,,,,Osaka,,,M
Wyatt,Shim Jaeyoung,심재영,와이엇,23/01/1995,ONF,2/8/2017,WM,South Korea,,,,Seoul,,,M
Anthony,Anthony Lo,엔써니 루오,엔써니,12/3/1998,VARSITY,5/1/2017,GKC,China,USA,179,,,,,M
Bullet,Jin Junwoo,진준우,블릿,2/12/1995,VARSITY,5/1/2017,GKC,South Korea,,182,65,Seoul,,,M
Damon,Hu Boohan,후보한,데이먼,2/7/1996,VARSITY,5/1/2017,GKC,China,,181,,,,,M
Dawon,Cho Dawon,조다원,다원,12/5/2000,VARSITY,5/1/2017,GKC,South Korea,,183,69,,,,M
Jaebin,Deung Bin,등빈,재빈,13/02/1997,VARSITY,5/1/2017,GKC,China,,168,,Hunan,,,M
Kid,Kim Junhoe,김준회,키드,26/10/1995,VARSITY,5/1/2017,GKC,South Korea,,177,58,,,,M
Manny,Syo Dongchun,쇼동청,만니,17/11/2001,VARSITY,5/1/2017,GKC,China,,170,64,,,,M
Riho,Jin Seungwook,진승욱,리호,1/3/1998,VARSITY,5/1/2017,GKC,South Korea,,178,59,Incheon,,,M
Xin,Wang Xinwi,왕씬위,씬,10/11/1996,VARSITY,5/1/2017,GKC,China,,185,,,,,M
Xiweol,Kang Minseok,강민석,시월,21/10/1996,VARSITY,5/1/2017,GKC,South Korea,,174,,,,,M
Ahra,Go Ahra,고아라,아라,21/02/2001,Favorite,5/7/2017,Astory,South Korea,,,,Yeosu,,,F
Gaeul,Park Gaeul,박가을,가을,8/5/1999,Favorite,5/7/2017,Astory,South Korea,,164,48,Seoul,,,F
Jeonghee,Go Jeonghee,고정희,정희,11/3/2000,Favorite,5/7/2017,Astory,South Korea,,,,Incheon,,,F
Saebom,Kim Seyoung,김세영,새봄,13/01/1995,Favorite,5/7/2017,Astory,South Korea,,,,Gwacheon,,,F
Seoyeon,Kim Minju,김민주,서연,26/11/1995,Favorite,5/7/2017,Astory,South Korea,,,,Gwacheon,,,F
Sugyeong,Jo Sugyeong,조수경,수경,12/1/2000,Favorite,5/7/2017,Astory,South Korea,,,,Haenam,,,F
Daniel,Kang Daniel,강다니엘,다니엘,10/12/1996,Wanna One,7/8/2017,YMC,South Korea,,,,Busan,,,M
Jaehwan,Kim Jaehwan,김재환,재환,27/05/1996,Wanna One,7/8/2017,YMC,South Korea,,,,Seoul,,,M
Jihoon,Park Jihoon,박지훈,지훈,29/05/1999,Wanna One,7/8/2017,YMC,South Korea,,,,Masan,,,M
Jisung,Yoon Jisung,윤지성,지성,8/3/1991,Wanna One,7/8/2017,YMC,South Korea,,,,Wonju,,,M
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,23/09/2001,Wanna One,7/8/2017,YMC,Taiwan,,,,New Taipei,,,M
Seongwu,Ong Seunwu,옹성우,성우,25/08/1995,Wanna One,7/8/2017,YMC,South Korea,,,,Incheon,,,M
Sungwoon,Ha Sungwoon,하성운,성운,22/03/1994,Wanna One,7/8/2017,YMC,South Korea,,,,Goyang,HOTSHOT,,M
Doyeon,Kim Doyeon,김도연,도연,4/12/1999,Weki Meki,8/8/2017,Fantagio,South Korea,,,,Incheon,I.O.I| WJMK,,F
Elly,Jung Haerim,정해림,엘리,20/07/1998,Weki Meki,8/8/2017,Fantagio,South Korea,,,,,,,F
Lua,Kim Sookyung,김수경,루아,6/10/2000,Weki Meki,8/8/2017,Fantagio,South Korea,,,,,,,F
Lucy,Noh Hyojung,노효정,루시,31/08/2002,Weki Meki,8/8/2017,Fantagio,South Korea,,,,Goyang,,,F
Rina,Kang Soeun,강소은,리나,27/09/2001,Weki Meki,8/8/2017,Fantagio,South Korea,,,,,,,F
Sei,Lee Seojung,이서정,세이,7/1/2000,Weki Meki,8/8/2017,Fantagio,South Korea,,,,,,,F
Suyeon,Ji Suyeon,지수연,수연,20/04/1997,Weki Meki,8/8/2017,Fantagio,South Korea,,,,,,,F
Yoojung,Choi Yoojung,최유정,유정,12/11/1999,Weki Meki,8/8/2017,Fantagio,South Korea,,,,Guri,I.O.I| WJMK,,F
Gracie,Kim Gaeun,김가운,그레이시,28/10/1996,H.U.B,9/2/2017,New Planet,South Korea,,,,,,,F
Hyosun,Lim Hyosun,임효선,효선,10/7/1998,H.U.B,9/2/2017,New Planet,South Korea,,170,54,,,Kiwi Band,F
Keina,Lee Yoona,이유나,케이나,12/2/1999,H.U.B,9/2/2017,New Planet,South Korea,,,,,,,F
Rui,Watanabe Rui,와타나베 루이,루이,8/10/1994,H.U.B,9/2/2017,New Planet,Japan,,,,,,N-Bulance,F
Yuem,Park Subin,박수빈,유음,25/12/1996,H.U.B,9/2/2017,New Planet,South Korea,,,,,,,F
Hakmin,Lee Hakmin,이학민,학민,20/09/2000,TRCNG,10/10/2017,TS,South Korea,,171,,,,,M
Hayoung,Choi Hayoung,최하영,하영,22/08/2000,TRCNG,10/10/2017,TS,South Korea,,181,,,,,M
Hohyeon,Lee Hohyeon,이호현,호현,14/10/2001,TRCNG,10/10/2017,TS,South Korea,,177,,,,,M
Hyunwoo,Kim Hyunwoo,김현우,현우,21/01/2001,TRCNG,10/10/2017,TS,South Korea,,173,,,,,M
Jihun,Kim Jihun,김지훈,지훈,9/1/2000,TRCNG,10/10/2017,TS,South Korea,,176,,Daegu,,,M
Jisung,Kim Jisung,김지성,지성,21/12/2000,TRCNG,10/10/2017,TS,South Korea,,171,,,,,M
Kangmin,Kim Kangmin,김강민,강민,13/11/2001,TRCNG,10/10/2017,TS,South Korea,,169,,,,,M
Siwoo,Yoo Siwoo,유시우,시우,11/5/2001,TRCNG,10/10/2017,TS,South Korea,,178,,,,,M
Taeseon,Yang Taeseon,양태선,태선,17/09/2000,TRCNG,10/10/2017,TS,South Korea,,182,,,,,M
Wooyeop,Jo Wooyeop,조우엽,우엽,27/09/2000,TRCNG,10/10/2017,TS,South Korea,,179,,,,,M
Aeji,Kwon Aeji,권애지,애지,25/10/1999,Hash Tag,11/10/2017,LUK,South Korea,,163,,Daegu,,,F
Dajeong,Kim Dajeong,김다정,다정,8/8/1995,Hash Tag,11/10/2017,LUK,South Korea,,170,,Gwangju,,,F
Hyunji,Kim Hyunji,김현지,현지,30/06/1992,Hash Tag,11/10/2017,LUK,South Korea,,165,,,,,F
Seungmin,Lee Seungmin,이승민,승민,3/2/1996,Hash Tag,11/10/2017,LUK,South Korea,,162,,,,,F
Sojin,Hong Sojin,홍소진,소진,24/09/1999,Hash Tag,11/10/2017,LUK,South Korea,,163,,,,,F
Sua,Yang Sua,양수아,수아,24/03/1995,Hash Tag,11/10/2017,LUK,South Korea,,169,,Gwangju,,,F
Subin,Oh Subin,오수빈,수빈,30/09/1998,Hash Tag,11/10/2017,LUK,South Korea,,172,,,,,F
Minnie,Nicha Yontararak,니차 욘타라락,민니,23/10/1997,(G)I-DLE,2/5/2018,Cube,Thailand,,,,,,,F
Miyeon,Jo Miyeon,조미연,미연,31/01/1997,(G)I-DLE,2/5/2018,Cube,South Korea,,,,,,,F
Shuhua,Yeh Shuhua,예슈화,슈화,6/1/2000,(G)I-DLE,2/5/2018,Cube,Taiwan,,161,45,,,,F
Soyeon,Jeon Soyeon,전소연,소연,26/08/1998,(G)I-DLE,2/5/2018,Cube,South Korea,,157,42,,,,F
Yuqi,Song Yuqi,송우기,우기,23/09/1999,(G)I-DLE,2/5/2018,Cube,China,,162,48,Beijing,,,F
Aurora,Yang Lan,양안,오로라,14/01/1997,NATURE,3/8/2018,n.CH,China,,,,,,,F
Chaebin,Choi Yoobin,최유빈,채빈,28/07/1999,NATURE,3/8/2018,n.CH,South Korea,,,,,,,F
Haru,Abe Haruno,아베 하루노,하루,21/02/2000,NATURE,3/8/2018,n.CH,Japan,,,,,,,F
Loha,Kang Yejin,강예진,로하,27/12/2001,Nature,3/8/2018,n.CH,South Korea,,171,,,,,F
Lu,Im Hayoung,임하영,루,3/12/1997,NATURE,3/8/2018,n.CH,South Korea,,,,,,,F
Saebom,Kim Saerok,김새록,새봄,30/01/1997,NATURE,3/8/2018,n.CH,South Korea,,,,,,,F
Sohee,Kim Sohee,소희,김소희,20/01/1995,Nature,3/8/2018,n.CH,South Korea,,162,41,Busan,C.I.V.A,I.B.I,F
Sunshine,Kim Minjung,김민정,선샤인,20/06/2002,NATURE,3/8/2018,n.CH,South Korea,,,,,,,F
Uchae,Yu Hyejun,유혜준,유채,7/5/2002,NATURE,3/8/2018,n.CH,South Korea,,,,,,,F
Anne,Lee Seoyoung,이서영,앤,17/10/2000,GWSN,5/9/2018,Kiwi Pop,South Korea,,,,,,,F
Lena,Kang Rena,강레나,레나,17/04/2002,GWSN,5/9/2018,Kiwi Pop,South Korea,,,,,,,F
Minju,Kang Minjoo,강민주,민주,11/3/2001,GWSN,5/9/2018,Kiwi Pop,South Korea,,,,,,,F
Miya,Miyauchi Haruka,미야우치 하루카,미야,26/05/1993,GWSN,5/9/2018,Kiwi Pop,Japan,,,,,,,F
Seokyoung,Kim Seokyung,김서경,서경,16/04/1999,GWSN,5/9/2018,Kiwi Pop,South Korea,,,,,,,F
Seoryoung,Lee Seoryung,이서령,서령,26/01/2000,GWSN,5/9/2018,Kiwi Pop,South Korea,,,,,,,F
Soso,Wang Chingyi,왕징이,소소,14/03/2001,GWSN,5/9/2018,Kiwi Pop,Taiwan,,,,,,,F
Chanyoung,Kim Chanyoung,김찬영,찬영,20/11/2000,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Dylan,Park Yeonjae,박연재,딜란,26/07/2002,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Hyunho,Lee Hyunho,이현호,현호,4/11/1998,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Hyunoh,Park Hyunoh,백현우,현우,12/2/1999,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Hyunwoo,Baek Hyunwoo,박현오,현오,19/03/1999,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Hyunwook,Ji Hyunwook,지현욱,현욱,1/7/1998,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Jeongseung,Park Jeongseung,박정승,정승,20/05/2002,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Minhyuk,Kim Minhyuk,김민혁,민혁,6/11/1999,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
O.V,Kim Sanchan,김상찬,오뷔,3/1/1999,D-CRUNCH,6/8/2018,All-S,South Korea,,,,,,,M
Boni,Choi Euijeong,최의정,보니,30/10/1999,Dreamnote,7/11/2018,iME,South Korea,,160,45,,,,F
Eunjo,Park Eunjo,박은조,은조,7/3/2002,Dreamnote,7/11/2018,iME,South Korea,,164,46,,,,F
Lara,Moon Shinae,문신애,라라,9/8/2000,Dreamnote,7/11/2018,iME,South Korea,,161,44,,,,F
Miso,Jeon Jimin,전지민,미소,25/10/2000,Dreamnote,7/11/2018,iME,South Korea,,160,43,,,,F
Sumin,Park Sumin,박수민,수민,9/9/2001,Dreamnote,7/11/2018,iME,South Korea,,166,46,,,,F
Youi,Kim Jihyeo,유아이,유아이,24/04/2000,Dreamnote,7/11/2018,iME,South Korea,,163,45,,,,F
Dongkyu,Moon Dongkyu,문동규,동규,16/11/1992,Spectrum,9/5/2018,WYNN,South Korea,,,,,,,M
Hwarang,Park Jonghan,박종찬,종찬,5/12/1995,Spectrum,9/5/2018,WYNN,South Korea,,,,,,,M
Minjae,Jo Minjae,조민재,민재,8/8/1994,Spectrum,9/5/2018,WYNN,South Korea,,,,,,,M
Hyunsoo,Kim Hyunsoo,김현수,현수,12/4/1995,D1CE,1/8/2019,Happyface,South Korea,,176,60,,,,M
Jinyoung,Woo Jinyoung,우진영,진영,31/05/1997,D1CE,1/8/2019,Happyface,South Korea,,170,51,,,,M
Woodam,Park Woodam,박우담,우담,2/8/1995,D1CE,1/8/2019,Happyface,South Korea,,173,,,,,M
Yonggeun,Jo Yonggeun,조용근,용근,23/01/1995,D1CE,1/8/2019,Happyface,South Korea,,174,54,,,,M
Yoojun,Jun Yoojun,정유준,유준,26/07/1995,D1CE,1/8/2019,Happyface,South Korea,,,,,,,M
Dongheon,Lee Dongheon,이동헌,동헌,4/8/1995,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Gyehyeon,Jo Gyehyeon,조계현,계현,14/05/1999,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Hoyoung,Bae Hoyoung,배호영,호영,10/8/1998,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Kangmin,Yoo Kangmin,유강민,강민,25/01/2003,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Minchan,Hong Minchan,홍민찬,민찬,16/09/1998,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Yeonho,Ju Yeonho,주연호,연호,31/05/2000,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Yongseung,Kim Yongseung,김용승,용승,17/06/2000,Verivery,1/9/2019,Jellyfish,South Korea,,,,,,,M
Bada,Kim Bada,김바다,바다,28/05/2002,Hinapia,3/11/2019,Alseulbit,South Korea,,162,49,,,,F
Eunwoo,Jeong Eunwoo,정은우,은우,1/7/1998,Hinapia,3/11/2019,Alseulbit,South Korea,,167,48,,Pristin V,Pristin,F
Rena,Kang Yebin,강예빈,레나,19/10/1998,Hinapia,3/11/2019,Alseulbit,South Korea,,162,49,,Pristin V,Pristin,F
Roa,Kim Minkyung,김민경,로아,29/07/1997,Hinapia,3/11/2019,Alseulbit,South Korea,,172,49,,Pristin V,Pristin,F
Yuha,Kang Kyungwon,강경원,유하,5/11/1997,Hinapia,3/11/2019,Alseulbit,South Korea,,170,50,,,Pristin,F
Beomgyu,Choi Beomgyu,최범규,범규,13/03/2001,TXT,4/3/2019,Big Hit,South Korea,,,,,,,M
Hueningkai,Kai Kamal Huening,카이 카말 휴닝,휴닝카이,14/08/2002,TXT,4/3/2019,Big Hit,USA,South Korea,,,,,,M
Soobin,Choi Soobin,최수빈,수빈,5/12/2000,TXT,4/3/2019,Big Hit,South Korea,,184,65,,,,M
Taehyun,Kang Taehyun,강태현,태현,5/2/2002,TXT,4/3/2019,Big Hit,South Korea,,,,,,,M
Yeonjun,Choi Yeonjun,최연준,연준,13/09/1999,TXT,4/3/2019,Big Hit,South Korea,,183,63,,,,M
Chaelin,Lee Chaelin,이채린,채린,20/10/1999,FANATICS,6/8/2019,FENT,South Korea,,162,47,,,,F
Chiayi,Li Chiayi,지아이,지아이,22/01/2000,FANATICS,6/8/2019,FENT,Taiwan,,164,,,FANATICS FLAVOR,,F
Doah,Kim Doah,김도아,도아,4/12/2003,FANATICS,6/8/2019,FENT,South Korea,,163,42,,FANATICS FLAVOR,,F
Doi,Kim Doi,김도이,도이,12/4/1994,FANATICS,6/8/2019,FENT,South Korea,,170,,,,,F
Rayeon,Lee Rayeon,이나연,나연,24/11/2001,FANATICS,6/8/2019,FENT,South Korea,,167,45,Gwangju,,,F
Via,Kim Via,김비아,비아,17/08/2000,FANATICS,6/8/2019,FENT,South Korea,,165,46,Busan,,,F
Yoonhye,Jung Yoonhye,정윤혜,윤혜,4/10/2001,FANATICS,6/8/2019,FENT,South Korea,,173,,,FANATICS FLAVOR,,F
Dahyun,Jeong Dahyun,정다현,다현,29/04/2005,Rocket Punch,7/8/2019,Woollim,South Korea,,160,,,,,F
Juri,Takahashi Juri,타카하시 쥬리,쥬리,3/10/1997,Rocket Punch,7/8/2019,Woollim,Japan,,160,44,,,,F
Sohee,Kim Sohee,김소희,소희,14/08/2003,Rocket Punch,7/8/2019,Woollim,South Korea,,161,46,,,,F
Suyun,Kim Suyun,김수윤,수윤,17/03/2001,Rocket Punch,7/8/2019,Woollim,South Korea,,169,52,,,,F
Yeonhee,Kim Yeonhee,김연희,연희,6/12/2000,Rocket Punch,7/8/2019,Woollim,South Korea,,161,,,,,F
Yunkyung,Seo Yunkyung,서윤경,윤경,1/11/2001,Rocket Punch,7/8/2019,Woollim,South Korea,,161,,,,,F
Cya,Lee Giwook,이기욱,키야,24/01/2000,Onewe,9/1/2019,RBW,South Korea,,,,,,MAS,M
Dongmyeong,Son Dongmyeong,곤동명,동명,20/01/2000,Onewe,9/1/2019,RBW,South Korea,,,,,,MAS,M
Harin,Ju Harin,주하린,주하린,29/03/1998,Onewe,9/1/2019,RBW,South Korea,,,,,,MAS,M
Hwanwoong,Yeo Hwanwoong,여환웅,환웅,26/08/1998,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Kanghyun,Kang Hyungu,강현구,강현,24/11/1998,Onewe,9/1/2019,RBW,South Korea,,,,,,MAS,M
Keonhee,Lee Keonhee,김건희,건희,27/06/1998,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Leedo,Kim Geonhak,김건학,이도,26/07/1997,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Ravn,Kim Yoongjo,김영조,레이븐,2/9/1995,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Seoho,Lee Seoho,이서호,서호,7/6/1996,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Xion,Son Dongju,손동주,시온,10/1/2000,Oneus,9/1/2019,RBW,South Korea,,,,,,,M
Yonghoon,Jin Yonghoon,진용훈,용훈,17/08/1994,Onewe,9/1/2019,RBW,South Korea,,,,,,MAS,M
Jinsung,Jung Jinsung,정진성,진성,30/03/2002,1the9,9/2/2019,MBK,South Korea,,176,58,Seoul,,,M
Seunghwan,Lee Seunghwan,이승환,승환,20/05/2000,1the9,9/2/2019,MBK,South Korea,,178,64,,,,M
Taekhyeon,Jung Taekhyeon,정택현,택현,28/07/2003,1the9,9/2/2019,MBK,South Korea,,178,66,Gunpo,,,M
A.M,Seong Hyunwoo,성현우,에이엠,31/12/1996,Limitless,9/7/2019,ONO,South Korea,,181,62,,,,M
Heeseok,Yun Heeseok,윤희석,희석,10/6/1997,Limitless,9/7/2019,ONO,South Korea,,180,61,,,,M
Hwichan,Lee Heechan,이휘찬,휘찬,18/04/1996,Limitless,9/7/2019,ONO,South Korea,,,,,OMEGA X,,M
Moonvok,Jang Moonvok,장문복,문복,11/4/1995,Limitless,9/7/2019,ONO,South Korea,,168,48,,,,M
Jungwoo,Uhm Jungwoo,엄정우,정우,2/4/1999,BVNDIT,10/4/2019,MNH,South Korea,,,,,,,F
Seungeun,Shim Seungeun,심승은,승은,27/12/2000,BVNDIT,10/4/2019,MNH,South Korea,,,,,,,F
Simyeong,Lee Simyeong,이시명,시명,27/05/1999,BVNDIT,10/4/2019,MNH,South Korea,,,,,,,F
Songhee,Yoon Songhee,윤송희,송희,8/11/1998,BVNDIT,10/4/2019,MNH,South Korea,,,,,,,F
Yiyeon,Jung Dasol,정다솔,이연,28/05/1995,BVNDIT,10/4/2019,MNH,South Korea,,,,,,,F
Gon,Kim Seongjung,김성중,곤,13/11/1998,ARGON,11/3/2019,MSH,South Korea,,,,,,,M
Haneul,Lee Haneul,이하늘,하늘,3/6/1996,ARGON,11/3/2019,MSH,South Korea,,175,,,,,M
Jaeun,Ha Jaeun,한재운,재운,28/09/1999,ARGON,11/3/2019,MSH,South Korea,,,,,,,M
Kain,Bang Junho,방준호,카인,25/03/1997,ARGON,11/3/2019,MSH,South Korea,,178,,,,,M
Roel,Kim Sunho,김선호,로엘,13/02/1997,ARGON,11/3/2019,MSH,South Korea,,,,,,,M
Yeoun,Lee Kyeongbin,이경빈,여운,3/9/1997,ARGON,11/3/2019,MSH,South Korea,,,,,,,M
Chaeryeong,Lee Chaeryeong,이채령,채령,5/6/2001,ITZY,12/2/2019,JYP,South Korea,,,,Yongin,,,F
Lia,Choi Jisu,최지수,리아,21/07/2000,ITZY,12/2/2019,JYP,South Korea,,,,Incheon,,,F
Ryujin,Shin Ryujin,신류진,류진,17/04/2001,ITZY,12/2/2019,JYP,South Korea,,,,Seoul,,,F
Yeji,Hwang Yeji,황예지,예지,26/05/2000,ITZY,12/2/2019,JYP,South Korea,,,,Seoul,,,F
Yuna,Shin Yuna,신유나,유나,9/12/2003,ITZY,12/2/2019,JYP,South Korea,,,,Suwon,,,F
B-Joo,Kim Byungjoo,김병주,비주,8/1/1994,Topp Dogg,1/4/2020,n.CH,South Korea,,,,Seoul,,,M
Chan,Jo Chanhyuk,조찬혁,찬,8/12/1999,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Chihoon,Choi Chihoon,최치훈,치훈,27/04/1999,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Donggeon,Song Donggeon,송동건,동건,15/07/1999,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Hojoon,Jeon Hojoon,전호준,호준,31/10/1992,Topp Dogg,1/4/2020,n.CH,South Korea,,,,Gwangju,,,M
J.YOU,Kim Jaeyu,김제유,제유,2/11/2000,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Jaeyun,Lee Jaeyun,이재윤,이재윤,16/08/2000,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Jerome,Oh Sungmin,오성민,제롬,25/08/2001,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Jisu,Choi Jisu,최지수,지수,19/01/2000,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
